,Source,Compound,Negative,Neutral,Positive,Time,Tweet Text
27,@BBC,-0.5423,0.191,0.809,0.0,Mon Apr 02 13:04:34 +0000 2018,RT @judithnwana: No amt of curfews will solve/end #SouthernCameroons conflict as long as root cause isn't tackled &amp; #Cameroon continues to…
28,@BBC,0.7506,0.0,0.748,0.252,Mon Apr 02 13:04:31 +0000 2018,"RT @clarenasir: Thanks to Prof @AlanRobock from @RutgersU for his dark yet fascinating conversation about Nuclear Winter 
On this weeks @BB…"
29,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:03:37 +0000 2018,"RT @RCorbettMEP: Is the @BBC abdicating its responsibilities over #Brexit, 
asks Henry Porter:  
https://t.co/2mx73co2Fx"
30,@BBC,-0.2732,0.087,0.913,0.0,Mon Apr 02 13:03:15 +0000 2018,"RT @YardleyShooting: The Far Left in Britain is also a child of the creed of Political Correctness, a disguised form of Marxism which we ha…"
31,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:02:59 +0000 2018,RT @BBC: When you wake up and remember it's STILL the weekend. 😊💤 #BankHoliday https://t.co/QMJ5lXS6dd
32,@BBC,0.0772,0.0,0.936,0.064,Mon Apr 02 13:02:48 +0000 2018,"RT @DrTalebJawad: #SaveAmalAlshammari

This video shows what typically happens if a Saudi woman calls the police or any state authority ask…"
33,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:02:16 +0000 2018,"RT @BBC: Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m"
34,@BBC,-0.7096,0.258,0.742,0.0,Mon Apr 02 13:02:08 +0000 2018,Time to stop #biased @BBC #crooks stealing OUR money. #scrapthefee.  New crackdown on those without TV licences as… https://t.co/6wCpY9sacX
35,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:02:06 +0000 2018,RT @IsHennie: @DanisDragons @INTERPOL_HQ @FBI @FBIMostWanted @CIA @NSAGov @IvankaTrump @realDonaldTrump @MissingKids @ICMEC_official @Feder…
36,@BBC,-0.1717,0.248,0.537,0.215,Mon Apr 02 13:01:58 +0000 2018,RT @MaheeSwaero: Dear @myogiadityanath @BJP4India @narendramodi stop playing #Politricks on #Ambedkar this ridiculous #Shameful Opposition…
37,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:01:32 +0000 2018,@BBC https://t.co/R6cGE12bmH
38,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:01:10 +0000 2018,RT @BBC: From Easter egg nest cakes to hot cross buns: @BBCFood have lots of Easter baking ideas!  🍰🍫🐣 https://t.co/2KH7JlTYXl https://t.co…
39,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:00:59 +0000 2018,@tvlicensingblog @BBC Now then now then.
40,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:00:46 +0000 2018,@Ross81862mare @UCLA @nkhensley @HuffPost @guardian @nypost @Independent @BBC Another case of (nonexistent) lesbian… https://t.co/2SNX7OfKCk
